"Choose the warehouse","Выберите склад"
"You can immediately pay for the order","Вы можете сразу оплатить заказ"
"Ordering","Оформление заказа"
"Fill the form","Заполните форму"
"in cash","Наличными"
"cashless payments","Безналичный расчёт"
"cash on delivery","Наложенный платёж"
"To the address","По адресу"
"I agree ", "Я соглашаюсь с "
"with the Privacy Policy","политикой конфиденциальности"
"Leave comment","Оставьте комментарий к заказу"
"First Name","Имя"
"Last Name","Фамилия"
"Middle Name","Отчество"
"Telephone","Телефон"
"Paypal Payment","Оплатить"
"Quick Order","Быстрый заказ"
"Continue shopping","Продолжить покупки"